Empresa Factura	Empresa (Sistema)	Nº Factura	Fecha Contable	Fecha Vencimiento	Fecha de Carga	Trimestre	Proveedor	CIF	Concepto	Incidencias	Tipo Documento	Base 21%	IVA 21%	Base 10%	IVA 10%	Base 4%	IVA 4%	Base 0%	IVA 0%	Retención	R. Equiv.	Total Base	IVA	Total
ESPAIS DE DUNES S.L.		9911360-0003713	2025-07-18T00:00:00.000Z		2026-07-22T15:59:46.000Z		MUSGRAVE ESPAÑA S.A.U.	A80837941			FACTURA RECIBIDA	455,44	95,64	730,12	73,01	107,51	4,30	0,00	0,00					1466,02
ESPAI DE DUES S.L.		5310838853	2025-07-17T00:00:00.000Z	2025-07-30T00:00:00.000Z	2026-07-22T15:59:00.000Z		CAMPOFRIO FOOD GROUP, S.A.U.	A09000928			FACTURA RECIBIDA	0,00	0,00	175,28	17,53	0,00	0,00	0,00	0,00					192,81
Espais de Dunes SL		D/20024	2025-07-12T00:00:00.000Z	2025-07-19T00:00:00.000Z	2026-07-22T15:58:45.000Z		Productos Florida, S.A.	A12012423			FACTURA RECIBIDA	0,00	0,00	29,91	2,99	0,00	0,00	0,00	0,00					32,90
ESPAIS DE DUNES S.L.		22669705	2025-07-11T00:00:00.000Z	2025-07-11T00:00:00.000Z	2026-07-22T15:58:40.000Z		EUROPASTRY, S.A.	A58695032			FACTURA RECIBIDA	0,00	0,00	125,19	12,52	0,00	0,00	0,00	0,00					137,71
ESPAI DE DUES S.L.		A-5079	2025-07-09T00:00:00.000Z	2025-07-09T00:00:00.000Z	2026-07-22T15:58:55.000Z		TODOSALADO MADESA, S.L.U.	B98985146			FACTURA RECIBIDA	0,00	0,00	325,71	32,57	0,00	0,00	0,00	0,00					358,28
ESPAI DE DUES S.L.		5310822471	2025-07-09T00:00:00.000Z	2025-07-23T00:00:00.000Z	2026-07-22T15:58:36.000Z		CAMPOFRIO FOOD GROUP, S.A.U.	A09000928			FACTURA RECIBIDA	0,00	0,00	150,42	15,04	14,40	0,58	0,00	0,00					180,44
ESPAI DE DUES S.L.		A-5080	2025-07-09T00:00:00.000Z	2025-07-09T00:00:00.000Z	2026-07-22T15:59:21.000Z		TODOSALADO MADESA, S.L.U.	B98985146			FACTURA RECIBIDA	0,00	0,00	804,24	80,42	0,00	0,00	0,00	0,00					884,66
ESPAI DE DUES S.L.		A-5081	2025-07-09T00:00:00.000Z	2025-07-09T00:00:00.000Z	2026-07-22T15:58:33.000Z		TODOSALADO MADESA, S.L.U.	B98985146			FACTURA RECIBIDA	0,00	0,00	561,13	56,11	0,00	0,00	0,00	0,00					617,24
ESPAI DE DUES S.L.		5310817285	2025-07-08T00:00:00.000Z	2025-07-19T00:00:00.000Z	2026-07-22T15:58:24.000Z		CAMPOFRIO FOOD GROUP, S.A.U.	A09000928			FACTURA RECIBIDA	0,00	0,00	175,32	17,53	20,16	0,81	0,00	0,00					213,82
ESPAIS DE DUNES SL		D/19373	2025-07-05T00:00:00.000Z	2025-07-12T00:00:00.000Z	2026-07-22T15:58:52.000Z		Productos Florida, S.A.	A12012423			FACTURA RECIBIDA	0,00	0,00	29,88	2,99	0,00	0,00	0,00	0,00					32,87
ESPAIS DE DUNES S.L.		22652549	2025-07-05T00:00:00.000Z	2025-07-05T00:00:00.000Z	2026-07-22T15:58:49.000Z		EUROPASTRY, S.A.	A58695032			FACTURA RECIBIDA	0,00	0,00	160,25	16,03	113,15	4,53	0,00	0,00					293,96
ESPAI DE DUES S.L.		5310812027	2025-07-04T00:00:00.000Z	2025-07-16T00:00:00.000Z	2026-07-22T15:58:20.000Z		CAMPOFRIO FOOD GROUP, S.A.U.	A09000928			FACTURA RECIBIDA	0,00	0,00	37,95	3,80	0,00	0,00	0,00	0,00					41,75
ESPAI DE DUES S.L		A-5078	2025-07-01T00:00:00.000Z	2025-07-01T00:00:00.000Z	2026-07-22T15:58:45.000Z		TODOSALADO MADESA, S.L.U.	B98985146			FACTURA RECIBIDA	0,00	0,00	535,04	53,50	0,00	0,00	0,00	0,00					588,54
TOTALES:												529,60	111,19	10.233,80	1023,39	1110,59	44,44	0,00	0,00	0,00		11.873,99	0,00	13.053,01
